departamento,municipio,codigo_dane_municipio,latitud,longitud,altitud_msnm,radiacion_kWhm2_dia,viento_ms,temperatura_C,humedad_relativa_pct,nubosidad_pct,tipo_red,demanda_kWh_mes,relieve_indice,potencial
NARIÑO,SAN LORENZO,52687,1.503362,-77.21542,2078.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,SAN PABLO,52693,1.669429,-77.013984,1709.0,4.027041666666666,2.5033333333333334,15.993333333333332,83.90083333333332,42.03624316602335,ZNI,,,desconocido
NARIÑO,SAN PEDRO DE CARTAGO,52694,1.551572,-77.11941,2080.0,4.027041666666666,2.5033333333333334,15.993333333333332,83.90083333333332,42.03624316602335,ZNI,,,desconocido
NARIÑO,SANTA BÁRBARA,52696,2.449653,-77.979916,-1.0,3.9479,2.9625,26.363333333333333,82.86333333333333,41.910042646485394,ZNI,,,desconocido
NARIÑO,SANTACRUZ,52699,1.222589,-77.677035,2587.0,4.027041666666666,2.7291666666666665,13.169166666666667,84.78083333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,SAPUYES,52720,1.037536,-77.62028,2996.0,4.027041666666666,2.7291666666666665,13.169166666666667,84.78083333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,TAMINANGO,52786,1.570358,-77.2808,1534.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,TANGUA,52788,1.09482,-77.393735,2420.0,4.027041666666666,2.7291666666666665,13.169166666666667,84.78083333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,SAN ANDRÉS DE TUMACO,52835,1.807399,-78.764073,7.0,3.904575,4.295833333333333,26.45833333333333,81.43833333333333,42.26236392717809,ZNI,,,desconocido
NARIÑO,TÚQUERRES,52838,1.085044,-77.61672,3039.0,4.027041666666666,2.7291666666666665,13.169166666666667,84.78083333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,YACUANQUER,52885,1.115937,-77.400169,2710.0,4.027041666666666,2.7291666666666665,13.169166666666667,84.78083333333333,42.03624316602335,ZNI,,,desconocido
NORTE DE SANTANDER,SAN JOSÉ DE CÚCUTA,54001,7.905725,-72.508178,318.0,4.300408333333333,2.518333333333333,25.651666666666667,66.06333333333333,39.011897459897625,SIN,,,desconocido
NORTE DE SANTANDER,ÁBREGO,54003,8.081616,-73.221722,1392.0,5.030349999999999,2.3666666666666667,20.50333333333333,77.55916666666667,25.68712467591944,SIN,,,solar
NORTE DE SANTANDER,ARBOLEDAS,54051,7.642985,-72.798952,938.0,4.300408333333333,3.205,17.520833333333332,84.22833333333334,39.011897459897625,SIN,,,desconocido
NORTE DE SANTANDER,BOCHALEMA,54099,7.612192,-72.64701,1063.0,4.300408333333333,3.205,17.520833333333332,84.22833333333334,39.011897459897625,SIN,,,desconocido
NORTE DE SANTANDER,BUCARASICA,54109,8.041299,-72.868231,1158.0,5.029633333333333,2.3666666666666667,20.50333333333333,77.55916666666667,25.151666972563547,SIN,,,solar
NORTE DE SANTANDER,CÁCOTA,54125,7.268705,-72.642059,2384.0,4.300408333333333,3.205,17.520833333333332,84.22833333333334,39.011897459897625,SIN,,,desconocido
NORTE DE SANTANDER,CÁCHIRA,54128,7.741248,-73.048983,1989.0,5.078083333333333,1.9116666666666668,19.40833333333333,76.8075,25.80023768471709,SIN,,,solar
NORTE DE SANTANDER,CHINÁCOTA,54172,7.603112,-72.601162,1257.0,4.300408333333333,3.205,17.520833333333332,84.22833333333334,39.011897459897625,SIN,,,desconocido
NORTE DE SANTANDER,CHITAGÁ,54174,7.138187,-72.665468,2334.0,4.300408333333333,3.0875,13.500833333333333,84.54916666666666,39.011897459897625,SIN,,,desconocido
NORTE DE SANTANDER,CONVENCIÓN,54206,8.470374,-73.3372,1066.0,5.030349999999999,1.4016666666666666,24.269166666666667,72.9025,25.68712467591944,SIN,,,solar
NORTE DE SANTANDER,CUCUTILLA,54223,7.539633,-72.772816,1268.0,4.300408333333333,3.205,17.520833333333332,84.22833333333334,39.011897459897625,SIN,,,desconocido
NORTE DE SANTANDER,DURANIA,54239,7.714804,-72.658491,937.0,4.300408333333333,3.205,17.520833333333332,84.22833333333334,39.011897459897625,SIN,,,desconocido
NORTE DE SANTANDER,EL CARMEN,54245,8.510579,-73.446687,693.0,5.030349999999999,0.965,26.7925,71.57083333333334,25.68712467591944,SIN,,,solar
